MovieTitle,ReleaseYear,Genres
Show Me Love,1998,"Comedy,Drama,Romance"
Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi"
Love Me If You Dare,2003,"Comedy,Drama,Romance"
"Black Cat, White Cat",1998,"Comedy,Crime,Romance"
Central Station,1998,Drama
Hero,2002,"Action,Adventure,Drama"
Sicario,2015,"Action,Crime,Drama"
Blue Is the Warmest Color,2013,"Drama,Romance"
The Road Warrior,1981,"Action,Adventure,Sci-Fi"
Hotel Mumbai,2018,"Action,Drama,History"
Talk to Her,2002,"Drama,Mystery,Romance"
The Hangover Part II,2011,Comedy
Raise the Red Lantern,1991,"Drama,Romance"
Farewell My Concubine,1993,"Drama,Music,Romance"
Bad Education,2004,"Crime,Drama"
In the Mood for Love,2000,"Drama,Romance"
Bruno,2019,Drama
Night at the Museum: Battle of the Smithsonian,2009,"Adventure,Comedy,Family"
The Triplets of Belleville,2003,"Adventure,Animation,Comedy"
Up,2009,"Adventure,Animation,Comedy"
Shaun the Sheep Movie,2015,"Adventure,Animation,Comedy"
Night at the Museum: Secret of the Tomb,2014,"Adventure,Comedy,Family"
Skyfall,2012,"Action,Adventure,Thriller"
After Life,1998,"Drama,Fantasy"
Grave of the Fireflies,1988,"Animation,Drama,War"
Princess Mononoke,1997,"Action,Adventure,Animation"
A Short Film About Love,1988,"Drama,Romance"
Sanjuro,1962,"Action,Drama,Thriller"
A Very Long Engagement,2004,"Drama,Mystery,Romance"
Life is Beautiful,2018,"Drama,Short"
Gone Girl,2014,"Drama,Mystery,Thriller"
Once Upon a Time in the West,1968,Western
Cruel Intentions 2,2000,Drama
The Band's Visit,2007,"Comedy,Drama,Music"
Nebraska,2013,Drama
Battle Royale,2000,"Action,Adventure,Drama"
Child's Play,1988,"Horror,Thriller"
Taxi,1998,"Action,Comedy,Crime"
The Girl Who Played with Fire,2009,"Action,Crime,Drama"
Shaolin Soccer,2001,"Action,Comedy,Fantasy"
Timecrimes,2007,"Horror,Mystery,Sci-Fi"
Ghost in the Shell 2: Innocence,2004,"Animation,Drama,Mystery"
Barbershop,2002,"Comedy,Drama"
Kung Fu Hustle,2004,"Action,Comedy,Fantasy"
Coherence,2013,"Drama,Mystery,Sci-Fi"
The Avengers,2012,"Action,Sci-Fi"
National Lampoon's Vacation,1983,"Adventure,Comedy"
Women on the Verge of a Nervous Breakdown,1988,"Comedy,Drama"
Spellbound,2002,"Comedy,Documentary,Thriller"
Like Water for Chocolate,1992,"Drama,Romance"
Leon: The Professional,1994,"Action,Crime,Drama"
X2: X-Men United,2003,"Action,Sci-Fi,Thriller"
Battlestar Galactica: The Plan,2009,"Action,Adventure,Drama"
Battlestar Galactica: Blood & Chrome,2012,"Action,Sci-Fi"
Fast Five,2011,"Action,Crime,Thriller"
Wild Strawberries,1957,"Drama,Romance"
Toy Story 3,2010,"Adventure,Animation,Comedy"
Priceless,2006,"Comedy,Romance"
Howl's Moving Castle,2004,"Adventure,Animation,Family"
Apollo 18,2011,"Horror,Mystery,Sci-Fi"
National Lampoon's Animal House,1978,Comedy
Apollo 11,2019,"Documentary,History"
Nurse 3D,2013,Short
The Shallows,2016,"Action,Drama,Horror"
The Tin Drum,1979,"Drama,War"
The Cabinet of Dr. Caligari,1920,"Horror,Mystery,Thriller"
The Punisher,1989,"Action,Crime,Thriller"
Jaws 2,1978,"Adventure,Horror,Thriller"
The Last Crusade,1984,"Documentary,Short"
Batman,1989,"Action,Adventure"
Django Unchained,2012,"Drama,Western"
Fist of Legend,1994,"Action,Drama"
American Pie 2,2001,Comedy
Flight 93,2006,"Action,History,Thriller"
Nosferatu,1922,"Fantasy,Horror"
Rififi,1955,"Crime,Drama,Thriller"
The Hobbit: An Unexpected Journey,2012,Fantasy
Guardians of the Galaxy,2014,"Action,Adventure,Comedy"
Super 8,2011,"Action,Mystery,Sci-Fi"
Bruce Almighty,2003,"Comedy,Fantasy"
The Rules of the Game,\N,"Crime,Thriller"
Melancholia,2011,"Drama,Sci-Fi"
Adventureland,2009,"Comedy,Drama,Romance"
Scott Pilgrim vs. the World,2010,"Action,Comedy,Fantasy"
Blue Valentine,2010,"Drama,Romance"
District 9,2009,"Action,Sci-Fi,Thriller"
500 Days of Summer,2009,"Comedy,Drama,Romance"
The Descendants,2011,"Comedy,Drama"
12 Monkeys,1995,"Mystery,Sci-Fi,Thriller"
True Grit,2010,"Drama,Western"
Kick-Ass,2010,"Action,Comedy,Crime"
Anchorman 2: The Legend Continues,2013,Comedy
The Other Guys,2010,"Action,Comedy,Crime"
The Sea Inside,2004,"Biography,Drama"
The Chamber of Secrets,2022,"Biography,Comedy,Drama"
Harry Potter and the Half-Blood Prince,2009,"Action,Adventure,Family"
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure,Family,Fantasy"
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy"
Die Hard 2: Die Harder,1992,Action
Time of the Gypsies,1988,"Comedy,Crime,Drama"
House of Flying Daggers,2004,"Action,Adventure,Drama"
Spy,2015,"Action,Comedy"
National Treasure,2004,"Action,Adventure,Mystery"
All About My Mother,1999,Drama
Mission: Impossible - Ghost Protocol,2011,"Action,Adventure,Thriller"
The Italian Job,1969,"Action,Comedy,Crime"
Throne of Blood,1957,"Drama,History"
Moonrise Kingdom,2012,"Comedy,Drama,Family"
Rango,2011,"Action,Adventure,Animation"
Life Is Beautiful,1997,"Comedy,Drama,Romance"
Borat Subsequent Moviefilm,2020,Comedy
Fantastic Mr. Fox,2009,"Adventure,Animation,Comedy"
Salt,2010,"Action,Thriller"
Love of Siam,2007,"Comedy,Romance"
Tropical Malady,2004,"Drama,Fantasy,Romance"
The Dictator,2012,Comedy
The World's End,2013,"Action,Comedy,Sci-Fi"
Uncle Boonmee Who Can Recall His Past Lives,2010,"Drama,Fantasy"
Hustlers,2019,"Comedy,Crime,Drama"
High and Low,1963,"Crime,Drama,Mystery"
Stray Dog,1949,"Crime,Drama,Film-Noir"
About Time,2013,"Comedy,Drama,Fantasy"
Prisoners,2013,"Crime,Drama,Mystery"
Amour,2012,Drama
Wild Things,1998,"Crime,Drama,Mystery"
Wild Things: Diamonds in the Rough,2005,"Crime,Drama,Mystery"
Castle in the Sky,1986,"Adventure,Animation,Family"
Harakiri,1962,"Action,Drama,Mystery"
The Green Hornet,2011,"Action,Comedy,Crime"
Exit Through the Gift Shop,2010,"Comedy,Crime,Documentary"
Watchmen,2009,"Action,Drama,Mystery"
The Producers,1967,"Comedy,Music"
Looper,2012,"Action,Drama,Sci-Fi"
My Neighbor Totoro,1988,"Animation,Comedy,Family"
The Girl Who Kicked the Hornet's Nest,2009,"Crime,Drama,Thriller"
The City of Lost Children,1995,"Drama,Fantasy,Sci-Fi"
Elite Squad,2007,"Action,Crime,Drama"
Fish Tank,2009,Drama
City of Men,2007,"Crime,Drama"
Shrek Forever After,2010,"Adventure,Animation,Comedy"
March of the Penguins,2005,"Documentary,Family"
Interstellar,2014,"Adventure,Drama,Sci-Fi"
The Strangers: Prey at Night,2018,Horror
Star Trek: Deep Space Nine - Emissary,1996,"Action,Adventure,Sci-Fi"
The Shape of Water,2017,"Drama,Fantasy,Romance"
The Martian,2015,"Adventure,Drama,Sci-Fi"
Gravity,2013,"Drama,Sci-Fi,Thriller"
Easy A,2010,"Comedy,Drama,Romance"
Nosferatu the Vampyre,1979,"Drama,Horror"
Paranormal Activity,2007,"Horror,Mystery"
Rollerball,2002,"Action,Sci-Fi,Sport"
"The Good, the Bad, the Weird",2017,"Action,Comedy,Thriller"
Death Race 2000,1975,"Action,Comedy,Sci-Fi"
A Fistful of Dollars,1964,"Action,Drama,Western"
Up in the Air,2009,"Comedy,Drama,Romance"
Winter's Bone,2010,"Drama,Mystery"
The Kids Are All Right,2010,"Comedy,Drama,Romance"
127 Hours,2010,"Biography,Drama"
Moon,2009,"Drama,Mystery,Sci-Fi"
A Single Man,2009,"Crime,Drama,Romance"
The Karate Kid,2010,"Action,Drama,Family"
Avatar,2009,"Action,Adventure,Fantasy"
Room,2015,"Drama,Thriller"
A Serious Man,2009,"Comedy,Drama"
Moneyball,2011,"Biography,Drama,Sport"
Hugo,2011,"Adventure,Drama,Family"
The Getaway,1972,"Action,Crime,Thriller"
The Longest Yard,1974,"Comedy,Crime,Drama"
The Princess and the Frog,2009,"Adventure,Animation,Comedy"
Incendies,2010,"Drama,Mystery"
The Edukators,2004,"Drama,Romance"
The Life of Pi,2017,Documentary
The Return of the King,2018,"Crime,Drama,Thriller"
The A-Team,2010,"Action,Adventure,Thriller"
The Book of Eli,2010,"Action,Adventure,Drama"
The Adjustment Bureau,2011,"Romance,Sci-Fi,Thriller"
The Sorcerer's Apprentice,2010,"Action,Adventure,Family"
The Chorus,2004,"Comedy,Drama,Music"
Brave,2012,"Adventure,Animation,Comedy"
The Barbarian Invasions,2003,"Comedy,Crime,Drama"
Red Sonja,1985,"Action,Adventure,Fantasy"
Before Midnight,2013,"Drama,Romance"
Dollhouse,2020,Horror
The Men Who Stare at Goats,2009,"Comedy,War"
X-Men: First Class,2011,"Action,Sci-Fi"
Star Trek Into Darkness,2013,"Action,Adventure,Sci-Fi"
Mamma Mia! Here We Go Again,2018,"Comedy,Musical,Romance"
Zero Dark Thirty,2012,"Drama,History,Thriller"
The Thing,2011,"Horror,Mystery,Sci-Fi"
Legally Blonde: The Musical,2007,Musical
The Terminator Genisys,2015,"Action,Adventure,Sci-Fi"
Underworld: Rise of the Lycans,2009,"Action,Fantasy,Thriller"
Underworld: Awakening,2012,"Action,Fantasy,Horror"
The Big Short,2015,"Biography,Comedy,Drama"
How to Train Your Dragon,2010,"Action,Adventure,Animation"
Borat,2006,Comedy
Finding Dory,2016,"Adventure,Animation,Comedy"
Kill Bill: Volume 1,2007,"Action,Adult,Comedy"
American Hustle,2013,"Crime,Drama"
Infernal Affairs,2002,"Action,Crime,Drama"
Call Me by Your Name,2017,"Drama,Romance"
For a Few Dollars More,1965,Western
The Secret World of Arrietty,2010,"Adventure,Animation,Drama"
Band of Outsiders,1964,"Comedy,Crime,Drama"
The Cabin in the Woods,2018,Horror
The Piano Teacher,2001,"Drama,Music"
The Big Sick,2017,"Comedy,Drama,Romance"
Life of Pi,2012,"Adventure,Drama,Fantasy"
The Devil's Backbone,2001,"Drama,Horror,Thriller"
Dracula,1992,"Drama,Fantasy,Horror"
Hot Tub Time Machine,2010,"Comedy,Sci-Fi"
Django,1966,"Action,Western"
Return of the Jedi,1983,"Action,Adventure,Sci-Fi"
Submarine,2010,"Comedy,Drama,Romance"
Captain Phillips,2013,"Action,Biography,Crime"
The Mighty,1998,"Comedy,Drama"
The Sandlot 2,2005,"Comedy,Family,Sport"
The Imaginarium of Doctor Parnassus,2009,"Adventure,Comedy,Fantasy"
The Bourne Identity,2002,"Action,Mystery,Thriller"
The Hangover Part III,2013,"Comedy,Crime"
Let Me In,2010,"Drama,Fantasy,Horror"
Cowboy Bebop: The Movie,2001,"Action,Animation,Crime"
Rush,1991,"Action,Crime,Drama"
21 Jump Street,2012,"Action,Comedy,Crime"
22 Jump Street,2014,"Action,Comedy,Crime"
Central Intelligence,2016,"Action,Comedy,Crime"
Cop Out,2010,"Action,Comedy,Crime"
The September Issue,2009,Documentary
"Food, Inc.",2008,"Documentary,News"
An Education,2009,Drama
The Raid: Redemption,2011,"Action,Crime,Thriller"
The Professional,2016,Documentary
The Wall,1982,"Action,Drama,War"
The Lobster,2015,"Drama,Romance,Sci-Fi"
The Wedding Banquet,1993,"Comedy,Drama,Romance"
Like Water for Elephants,2011,"Drama,Romance"
Biutiful,2010,"Drama,Romance"
Der Baader Meinhof Komplex,2008,"Action,Biography,Crime"
Being Human,1994,"Comedy,Drama"
The Royal Family of Broadway,1930,"Comedy,Music,Mystery"
The Hunt for the Wilderpeople,2016,"Adventure,Comedy,Drama"
Pitch Perfect,2012,"Comedy,Music,Romance"
The Adventures of Tintin,2011,"Action,Adventure,Animation"
Lockout,2012,"Action,Sci-Fi,Thriller"
The Wolf of Wall Street,2013,"Biography,Comedy,Crime"
Ghost in the Shell: Stand Alone Complex - Solid State Society,2006,"Action,Adventure,Animation"
The Dark Knight Returns: Part 1,2012,"Action,Animation,Crime"
The Dark Knight Returns: Part 2,2013,"Action,Animation,Crime"
Audition,1999,"Drama,Horror,Mystery"
The Santa Clause,1994,"Comedy,Drama,Family"
The International,2009,"Action,Crime,Drama"
A Better Tomorrow,1986,"Action,Crime,Drama"
12 Years a Slave,2013,"Biography,Drama,History"
Mansfield Park,2007,"Drama,Romance"
Buried,2010,"Drama,Mystery,Thriller"
"The Lion, the Witch and the Wardrobe",1979,"Adventure,Animation,Drama"
Paranormal Activity 2,2010,"Horror,Mystery"
Deadpool,2016,"Action,Comedy"
End of Watch,2012,"Action,Adventure,Crime"
The Perks of Being a Wallflower,2012,Drama
The Double Life of Veronique,1991,"Drama,Fantasy,Music"
The Princess and the Warrior,2000,"Drama,Mystery,Romance"
The Social Dilemma,2020,"Documentary,Drama"
